Zone,Channel,Year,Month,Ton,Amount,Baht
N1,N1TN,2019,10,32.760000000000005,29555.399999999998,902.179487179487
N1,N1TN,2019,11,99.42999999999999,93522.0,940.5813134868753
N1,N1TN,2019,12,128.06,120021.9,937.2317663595189
N1,N1TN,2020,1,113.56999999999998,104199.29999999997,917.4896539579114
N1,N1TN,2020,2,147.67,131352.59999999998,889.5009142005823
N1,N1TN,2020,3,81.89999999999999,72909.5,890.2258852258853
N1,N1TN,2020,4,13.91,12001.3,862.7821710999281
N1,N1TN,2020,5,15.129999999999999,13110.400000000001,866.5168539325845
N1,N1TN,2020,6,5.19,4638.6,893.7572254335261
N1,N1TN,2020,7,12.019999999999998,10683.2,888.7853577371051
N1,N1WT,2018,1,40.93000000000001,43993.5,1074.8473002687513
N1,N1WT,2018,2,18.720000000000002,20990.0,1121.2606837606836
N1,N1WT,2018,3,95.16000000000001,106060.0,1114.5439260193357
N1,N1WT,2018,4,49.50000000000001,54145.59999999999,1093.8505050505048
N1,N1WT,2018,5,105.98999999999998,109011.9,1028.5111803000284
N1,N1WT,2018,6,241.38000000000008,243270.00000000003,1007.8299776286351
N1,N1WT,2018,7,447.23000000000013,435112.3,972.9049929566439
N1,N1WT,2018,8,180.73999999999998,183045.70000000004,1012.7569990040946
N1,N1WT,2018,9,146.07999999999998,150409.90000000002,1029.64060788609
N1,N1WT,2018,10,26.329999999999995,26132.5,992.4990505127233
N1,N1WT,2018,11,100.05000000000004,105406.1,1053.534232883558
N1,N1WT,2018,12,150.69000000000005,159671.70000000004,1059.6038224168822
N1,N1WT,2019,1,304.97999999999985,320508.2,1050.9154698668772
N1,N1WT,2019,2,106.53,112113.5,1052.4124659720267
N1,N1WT,2019,3,286.2300000000001,303955.5,1061.9274709149981
N1,N1WT,2019,4,149.79999999999993,152068.6,1015.1441922563423
N1,N1WT,2019,5,295.63000000000005,292965.2999999999,990.9863680952536
N1,N1WT,2019,6,120.37,121231.0,1007.1529450859848
N1,N1WT,2019,7,99.25999999999999,95059.2,957.6788232923635
N1,N1WT,2019,8,39.81999999999999,37087.0,931.3661476644903
N1,N1WT,2019,9,5.15,4744.0,921.1650485436893
N1,N1YS,2017,2,0.08,80.0,1000.0
N1,N1YS,2018,7,6.97,6702.0,961.5494978479197
N1,N1YS,2018,8,75.76000000000002,76099.5,1004.4812565997886
N1,N1YS,2018,9,26.399999999999995,26261.600000000002,994.757575757576
N1,N1YS,2018,10,5.99,6062.0,1012.0200333889816
N1,N1YS,2018,11,1.26,1234.8,980.0
N1,N1YS,2018,12,8.07,8009.4,992.4907063197026
N1,N1YS,2019,2,5.35,5350.0,1000.0000000000001
N1,N1YS,2019,3,7.24,7446.6,1028.53591160221
N1,N1YS,2019,5,46.44,46392.79999999999,998.9836347975881
N1,N1YS,2019,6,1.4,1358.0,970.0000000000001
N1,N1YS,2019,7,9.75,9034.0,926.5641025641025
N1,N1YS,2019,9,1.66,1527.2,920.0000000000001
N1,N1YS,2019,11,3.01,2709.0,900.0000000000001
N1,N1YS,2019,12,10.940000000000001,10029.400000000001,916.764168190128
N1,N1YS,2020,1,1.53,1377.0,900.0
N1,N1YS,2020,2,2.78,2418.6,870.0
N1,N1YS,2020,3,54.83,47401.80000000002,864.5230713113262
N1,N1YS,2020,4,59.41,51422.200000000004,865.5478875610168
N1,N1YS,2020,5,32.61000000000001,28544.8,875.338853112542
N2,N2KP,2018,11,55.610000000000014,53493.799999999996,961.9456932206434
N2,N2KP,2018,12,437.76999999999987,439099.2999999997,1003.0365260296498
N2,N2KP,2019,1,1275.510000000001,1286746.5,1008.8094174095061
N2,N2KP,2019,2,1614.100000000001,1598160.0,990.1245276005197
N2,N2KP,2019,3,1197.21,1193551.7999999989,996.9443957200482
N2,N2KP,2019,4,812.8699999999991,807710.1,993.6522445163444
N2,N2KP,2019,5,456.74999999999994,456295.50000000006,999.0049261083747
N2,N2KP,2019,6,202.91,201153.80000000002,991.3449312503082
N2,N2KP,2019,7,174.50999999999993,168440.69999999995,965.2209042461751
N2,N2KP,2019,8,125.94999999999997,117563.09999999999,933.4108773322748
N2,N2KP,2019,9,57.199999999999996,54744.799999999996,957.0769230769231
N2,N2KP,2019,10,83.98000000000002,80407.6,957.4613003095974
N2,N2KP,2019,11,207.88000000000008,207794.0,999.586299788339
N2,N2KP,2019,12,309.42,301442.10000000003,974.2165987977507
N2,N2KP,2020,1,381.9300000000001,352662.00000000006,923.3681564684626
N2,N2KP,2020,2,806.2400000000001,732528.4000000004,908.573625719389
N2,N2KP,2020,3,655.4399999999998,586697.6999999995,895.1203771512261
N2,N2KP,2020,4,466.7500000000001,412378.29999999993,883.5100160685588
N2,N2KP,2020,5,204.38999999999996,181013.40000000002,885.627476882431
N2,N2KP,2020,6,120.78999999999999,108555.2,898.7101581256727
N2,N2KP,2020,7,88.53,79257.6,895.2626228397154
N2,N2MK,2017,6,27.36,31810.8,1162.6754385964912
N2,N2MK,2017,7,130.68999999999997,152149.1,1164.19848496442
N2,N2MK,2017,8,171.07,201053.9,1175.272695387853
N2,N2MK,2017,9,41.6,50478.0,1213.4134615384614
N2,N2MK,2017,10,58.65,72139.5,1230.0
N2,N2MK,2017,11,24.11,29655.3,1230.0
N2,N2MK,2018,5,8.42,8756.8,1040.0
