Zone,Channel,Year,Month,Baht,Ton
UC,UC1,2017,2,959.2374810318664,13325.920000000038
UC,UC1,2017,3,973.8814396612562,14552.559999999976
UC,UC1,2017,4,953.9138305575669,14369.680000000028
UC,UC1,2017,5,859.476861167002,12408.920000000024
UC,UC1,2017,6,856.272,11454.270000000013
UC,UC1,2017,7,859.3238135237295,13487.860000000004
UC,UC1,2017,8,872.237302977233,13361.04999999997
UC,UC1,2017,9,840.0598802395209,11294.619999999999
UC,UC1,2017,10,832.4612736660929,11578.300000000001
UC,UC1,2017,11,883.7139689578714,16620.190000000002
UC,UC1,2017,12,915.0616269515201,14202.869999999997
UC,UC1,2018,1,822.8305621536025,17349.779999999988
UC,UC1,2018,2,872.3188405797101,18825.45
UC,UC1,2018,3,935.3183730715288,22121.169999999955
UC,UC1,2018,4,865.9579862368707,18294.28
UC,UC1,2018,5,810.0141392718275,20558.230000000003
UC,UC1,2018,6,822.278186749322,20495.699999999983
UC,UC1,2018,7,759.8938321536906,18645.11
UC,UC1,2018,8,711.6551040634291,20448.90000000001
UC,UC1,2018,9,713.7214828897338,22233.849999999966
UC,UC1,2018,10,687.1490048413125,21395.369999999955
UC,UC1,2018,11,732.6198257080611,17767.59000000003
UC,UC1,2018,12,756.4186691312384,20049.089999999997
UC,UC1,2019,1,744.0863055922501,22403.50999999998
UC,UC1,2019,2,726.3240332843857,20517.939999999984
UC,UC1,2019,3,776.7191225560324,18546.81000000001
UC,UC1,2019,4,850.7450124688279,18580.190000000108
UC,UC1,2019,5,794.9744680851064,18523.950000000026
UC,UC1,2019,6,775.1232876712329,15205.730000000001
UC,UC1,2019,7,889.6058784235137,10809.580000000018
UC,UC1,2019,8,885.2815395580898,10533.350000000002
UC,UC1,2019,9,886.5216400911162,6812.590000000005
UC,UC1,2019,10,959.1750483558994,7328.970000000001
UC,UC1,2019,11,950.2075971731449,8008.960000000004
UC,UC1,2019,12,944.3941039565555,14367.650000000036
UC,UC1,2020,1,991.5137724550898,19904.949999999968
UC,UC1,2020,2,1011.6614268440145,22132.96999999996
UC,UC1,2020,3,956.2717661691543,16264.600000000011
UC,UC1,2020,4,856.142208774584,12398.139999999998
UC,UC1,2020,5,787.8342904019688,11039.89000000001
UC,UC1,2020,6,722.6780185758514,7244.54
UC,UC2,2015,1,1095.0,277.2
UC,UC2,2015,2,1091.7922814982974,14495.040000000012
UC,UC2,2015,3,1069.7274315666862,11103.922999999999
UC,UC2,2015,4,1096.3224043715848,4271.990000000001
UC,UC2,2015,5,1063.2798833819243,4809.639999999998
UC,UC2,2015,6,998.1981981981982,2218.5599999999986
UC,UC2,2015,7,1035.9880239520958,1172.54
UC,UC2,2015,8,1061.1475409836066,657.4600000000002
UC,UC2,2015,9,1051.4157303370787,4554.210000000002
UC,UC2,2015,10,1045.2154195011337,4164.490000000001
UC,UC2,2015,11,1063.171806167401,2495.3099999999986
UC,UC2,2015,12,1064.2631578947369,4034.2400000000002
UC,UC2,2016,1,1066.9690721649486,5806.419999999995
UC,UC2,2016,2,1120.9313725490197,8358.369999999999
UC,UC2,2016,3,1136.382189239332,9367.329999999998
UC,UC2,2016,4,1132.420749279539,6149.239999999995
UC,UC2,2016,5,1131.0169491525423,4813.539999999999
UC,UC2,2016,6,1123.6904761904761,4401.76
UC,UC2,2016,7,1117.488524590164,3682.620000000001
UC,UC2,2016,8,1097.36690647482,1716.6500000000003
UC,UC2,2016,9,1090.049180327869,3127.170000000001
UC,UC2,2016,10,1165.3838120104438,4107.41
UC,UC2,2016,11,1232.5857142857142,2556.4600000000014
UC,UC2,2016,12,1197.1712962962963,6966.859999999994
UC,UC2,2017,1,1191.483870967742,9813.329999999994
UC,UC2,2017,2,1193.2620689655173,12548.09999999999
UC,UC2,2017,3,1212.7935153583617,10098.560000000001
UC,UC2,2017,4,1217.551515151515,8258.3
UC,UC2,2017,5,1238.1407942238268,9305.190000000004
UC,UC2,2017,6,1229.5203836930455,6647.199999999998
UC,UC2,2017,7,1226.868580060423,7344.190000000009
UC,UC2,2017,8,1211.9988505747126,10668.039999999995
UC,UC2,2017,9,1176.5469798657718,6207.080000000003
